,id,car_brand,car_series,model_year,car_price,cost_per_month,tax_rate,energy_combined,car_capacity,car_width,car_length,car_height,car_seats,car_weight,emissions_pm,emissions_nox,emissions_co2,emission_cluster_kmeans,pca_kmean_cluster
0,520a4ee6-8cbc-4f8b-8d0e-e6a3802de7c2,PORSCHE,911 TARGA 4 GTS EDITION 50 YEARS PORSCHE DESIGN,2023,14300000,9893.0,35.0,13.0,2981,1852,4533,1299,4,1395,,0.007,309,2,2
1,17d58784-a6b5-4699-95b2-4dc3cdfa9c2e,AUDI,A5 Sportback 45 TFSI quattro S line edition one,2024,3699000,5403.1,30.0,7.1,1984,1843,4757,1386,5,1431,0.00014,0.029,163,3,3
2,4f82ac4e-befa-4395-98b8-4604473b708f,AUDI,A5 Coupe 45 TFSI quattro S line edition one,2024,3699000,5403.1,30.0,7.1,1984,1846,4697,1371,4,1431,0.00014,0.029,162,3,3
3,5514286c-9231-4241-9c7b-3f155a7755a5,AUDI,A5 Sportback 40 TFSI S line edition one,2024,2799000,4946.5,25.0,6.5,1984,1843,4757,1386,5,1431,0.00024,0.007,148,1,3
4,de8a679d-c90e-4656-ac4f-0e4aa92af00c,AUDI,A5 Coupe 40 TFSI S line edition one,2024,2799000,4870.4,25.0,6.4,1984,1846,4697,1371,4,1431,0.00024,0.007,145,3,3
5,ff56bea8-5441-40ba-95e6-3e65dfd02f33,Hyundai,Santa Fe Hybrid Black Seat,2023,1949000,4337.7,16.0,5.7,1598,1900,4785,1685,7,1920,,0.007,135,0,3
6,7578e0eb-91eb-4afd-a739-184959a14c14,MERCEDES-BENZ,GLC 220 d 4MATIC Avantgarde,2023,3720000,2994.0,25.0,5.0,1993,1890,4716,1640,5,2000,2e-05,0.015,133,1,3
7,72cf2e65-ccdb-4b02-a5db-d66cbc07fd0c,MERCEDES-BENZ,GLE 300 d 4MATIC AMG Dynamic,2023,5590000,3892.2,30.0,6.5,1993,2015,4926,1797,5,2335,0.00012,0.009,170,0,1
8,cebe3a91-a908-4555-87e0-6113dc87595b,TOYOTA,VELLFIRE HYBRID EXECUTIVE LOUNGE E-FOUR,2024,3350000,4413.8,16.0,5.8,2487,1850,4995,1945,7,2141,,0.001,135,0,3
9,5deb8369-99b0-421a-87e0-0f560d2153ba,TOYOTA,Corolla Cross 1.8 Sport Plus,2024,999000,4946.5,20.0,6.5,1798,1825,4460,1620,5,1325,,0.014,150,1,3
10,cb37b05d-ec23-40a1-9d08-82791fcdee6e,TOYOTA,Corolla Cross HEV Premium,2024,1094000,3272.3,4.0,4.3,1798,1825,4460,1620,5,1385,,0.005,98,1,0
11,42cf6a17-0070-4c90-b818-7a0d51c97510,TOYOTA,Corolla Cross HEV Premium Luxury,2024,1204000,3272.3,4.0,4.3,1798,1825,4460,1620,5,1385,,0.005,98,1,0
12,5fdc8c41-f729-4060-a938-0eb3fe2bc7bb,TOYOTA,Corolla Cross HEV GR Sport,2024,1254000,3272.3,4.0,4.3,1798,1825,4455,1620,5,1385,,0.005,98,1,0
13,c531a8bf-b989-4c40-bc5a-077ba29ce7ba,Mitsubishi,Attrage SPECIAL EDITION,2024,543000,3272.3,12.0,4.3,1193,1670,4305,1515,5,946,,0.004,100,1,0
14,b39f32b8-f435-465a-a69c-9e529de82014,Mitsubishi,Mirage SPECIAL EDITION,2024,522000,3272.3,12.0,4.3,1193,1665,3845,1505,5,896,,0.001,100,1,0
15,822ce8e8-f449-456e-99e8-c8573d1cfae0,TOYOTA,CROWN SPORT Z,2024,2247000,3652.8,16.0,4.8,2487,1880,4720,1565,5,1770,,0.002,115,1,0
16,21764ec5-75ad-42a0-8b73-f3d7811b62b1,Mitsubishi, TRITON DOUBLE CAB ATHLETE 2.4 4WD AT,2024,1273000,5707.5,9.0,7.5,2442,1930,5360,1815,5,2058,0.00059,0.412,198,0,1
17,29463bd9-5df4-40ea-b900-b9fd5f8d373a,Mitsubishi,TRITON DOUBLE CAB ATHLETE 2.4 AT,2024,1100000,5555.3,9.0,7.3,2442,1930,5360,1815,5,1958,0.00069,0.388,192,0,1
18,972ea43d-5f6c-4224-aea7-57f91a998163,HONDA,CITY HATCHBACK e:HEV RS,2024,799000,2739.6,4.0,3.6,1498,1748,4369,1501,5,1237,,0.005,85,1,0
19,049de419-f1b1-45e2-ac1b-b4fd800afafe,HONDA,CITY HATCHBACK e:HEV SV,2024,735000,2739.6,4.0,3.6,1498,1748,4350,1501,5,1231,,0.005,85,1,0
20,fae077f3-6ae7-47bb-bc85-4ac0b0e05f9d,HONDA,CITY HATCHBACK RS,2024,749000,3272.3,12.0,4.3,988,1748,4369,1501,5,1187,,0.016,100,1,0
21,f05d8d6f-4f76-4d74-a0d4-5fa33bf846bc,HONDA,CITY HATCHBACK SV,2024,679000,3272.3,12.0,4.3,988,1748,4350,1488,5,1170,,0.016,100,1,0
22,1997c1ae-6bb2-4f9c-8abd-3f96b37d20b9,HONDA,CITY HATCHBACK S+,2024,599000,3272.3,12.0,4.3,988,1748,4350,1488,5,1161,,0.016,100,1,0
23,bb33dcd9-9a52-45a5-87ca-af7ab8c8322f,PORSCHE,Panamera,2024,12005000,7762.2,35.0,10.2,2894,1937,5052,1423,4,1885,,0.011,233,2,2
24,b89eab39-4a56-41f9-8426-372e21046588,TOYOTA,VELLFIRE Z PREMIER,2024,3450000,7305.6,35.0,9.6,2393,1850,4995,1945,7,2151,,0.005,223,0,2
25,24f74eee-dd9a-422e-b200-f51289a6ea9e,PORSCHE,911 Carrera S,2022,14447000,7077.3,35.0,9.3,2981,1852,4519,1300,4,1515,,0.017,213,2,2
26,70e393e4-e609-4134-865c-5bce92d4415c,PORSCHE,911 Carrera GTS,2022,18670000,8218.8,35.0,10.8,2981,1852,4533,1301,4,1510,,0.013,247,2,2
27,8d92b29b-03d6-4fb5-ba18-a996ff58148a,PORSCHE,911 Carrera T,2023,12892000,8142.7,35.0,10.7,2981,1852,4530,1293,4,1470,,0.012,244,2,2
28,cce90eff-d241-40f6-bedd-ab87fdb686c0,PORSCHE,718 Cayman Style Edition,2023,7775000,6696.8,30.0,8.8,1988,1801,4379,1295,2,1365,,0.053,200,3,1
29,5e6c1aac-a27c-42f7-83bb-d32ed2f85598,PORSCHE,718 Boxster Style Edition,2023,6996000,6696.8,30.0,8.8,1988,1801,4379,1281,2,1365,,0.053,200,3,1
30,01b5f1c8-bcfc-4f6b-9ecf-71aef9c4b149,Mitsubishi,XPANDER HEV,2024,919000,3957.2,8.0,5.2,1590,1750,4595,1750,7,1455,,0.004,118,1,0
31,f005bab5-3e20-403f-ae24-59213f075de0,Mitsubishi,XPANDER CROSS HEV,2024,947000,3957.2,8.0,5.2,1590,1790,4595,1750,7,1460,,0.004,118,1,0
32,d50e7a13-c863-4c02-aed8-1823fe54ae00,TOYOTA,VELLFIRE 250,2023,4033900,6088.0,30.0,8.0,2493,1850,4995,1945,7,2072,,0.007,186,0,1
33,1fb4c674-e8a7-4bfb-aec6-2671ffb90a25,TOYOTA,NOAH HYBRID X,2023,1400000,3728.9,16.0,4.9,1797,1730,4695,1925,7,1661,,0.005,114,1,0
34,0ce4180f-b14a-41eb-9c68-3e5f2235b5a3,TOYOTA,ALPHARD HYBRID Z E-FOUR,2023,2600000,4489.9,16.0,5.9,2487,1850,4995,1935,7,2186,,0.004,136,0,3
35,2a1f05a5-ed2a-49d5-8000-b3a76677284d,TOYOTA,ALPHARD HYBRID EXECUTIVE LOUNGE,2023,3250000,4489.9,16.0,5.9,2487,1850,4995,1935,7,2186,,0.004,136,0,3
36,d36fae8b-359d-4ab7-964f-b2eecd5221d7,TOYOTA,ALPHARD Z,2023,2750000,6088.0,30.0,8.0,2493,1850,4995,1935,7,2072,,0.007,186,0,1
37,6609b1ad-126a-4073-a255-a89c8c95251c,MERCEDES-BENZ,GLA 200 AMG Dynamic,2023,2580000,4718.2,20.0,6.2,1332,1849,4436,1605,5,1570,9e-05,0.033,142,1,3
38,60efdbb7-e96c-44ed-a398-61220f3f627a,Hyundai,Santa Fe Hybrid,2023,1849000,4337.7,16.0,5.7,1598,1900,4785,1685,7,1920,,0.007,135,0,3
39,8f41af31-6cf5-4d5a-a082-8491e6a8b8be,PORSCHE,Macan,2022,4984000,7381.7,35.0,9.7,1984,1922,4726,1621,5,1865,,0.012,221,3,2
40,ba1b509d-a4e4-4376-a7ac-ece80f4ec044,TOYOTA,Hiace GL AT,2022,1154000,6468.5,,8.5,2755,1950,5265,1990,12,2375,0.03096,0.247,226,0,2
41,2146256c-2085-4aae-be74-e123e36ec023,TOYOTA,Hiace Eco-Panel,2019,1019000,6468.5,,8.5,2755,1950,5265,1990,3,2165,0.046,0.244,224,3,2
42,ba80dab1-ad24-4fe3-a4e8-b5629411377d,TOYOTA,Hiace GL,2019,1099000,6468.5,,8.5,2755,1950,5265,1990,12,2390,0.046,0.244,224,0,2
43,c0d5dd63-616c-4df6-b45d-b50aaacdb5c9,PORSCHE,911 Carrera GTS Cabriolet,2023,17506000,7838.3,35.0,10.3,2981,1852,4533,1300,4,1615,,0.026,234,2,2
44,1595fc38-14d6-4f93-b000-48b03acc8e90,PORSCHE,Macan GTS,2022,8910000,7838.3,35.0,10.3,2894,1927,4726,1596,5,1960,,0.018,235,2,2
45,d77c33b7-68fb-4449-a8d9-edfe4eafdc51,PORSCHE,911 Targa 4S,2023,18803000,7533.9,35.0,9.9,2981,1852,4519,1299,4,1675,,0.019,225,2,2
46,deffefbf-018e-474c-884c-bcd3a8b7ea7d,PORSCHE,911 Targa 4 GTS,2022,18971000,8142.7,35.0,10.7,2981,1852,4533,1299,4,1685,,0.03,244,2,2
47,7a24932e-aefd-4077-a8c0-b622a0d68754,PORSCHE,911 Targa 4,2022,14707000,7533.9,35.0,9.9,2981,1852,4519,1297,4,1665,,0.019,225,2,2
48,bfb03d85-ac1b-4cc3-bbd9-b3fde8b1168e,PORSCHE,911 Carrera Cabriolet,2022,14327000,7305.6,35.0,9.6,2981,1852,4519,1297,4,1575,,0.011,220,2,2
49,7db38d12-230c-45f0-bfba-0c64020440f9,PORSCHE,911 Carrera 4S,2022,14132000,7077.3,35.0,9.3,2981,1852,4519,1300,4,1565,,0.017,213,2,2
50,5eeaa88d-f905-49cb-8c6e-7504a1707f76,PORSCHE,911 Carrera 4 GTS,2022,15801000,8066.6,35.0,10.6,2981,1852,4533,1301,4,1595,,0.027,241,2,2
51,35b5bfe8-1313-4b8c-9a93-0a40f558d334,TOYOTA,VELLFIRE HYBRID Z PREMIER E-FOUR,2023,2800190,4337.7,16.0,5.7,2487,1850,4995,1945,7,2186,,0.002,133,0,3
52,d002adda-9247-41a0-9834-a269c1d424ff,PORSCHE,911 Carrera,2022,12590000,7305.6,35.0,9.6,2981,1852,4519,1298,4,1505,,0.011,220,2,2
53,ca4d6576-776c-4848-ac94-fc1ca7d7904d,PORSCHE,718 Boxster,2023,7069000,6696.8,30.0,8.8,1988,1801,4379,1281,2,1365,,0.053,200,3,1
54,e88031ed-4d1d-4bd7-bf0e-52436d1ba801,TOYOTA,Hilux Champ 2.4 Diesel MT C&C LWB,2024,499000,5250.9,,6.9,2393,1785,5040,1735,2,1480,0.00076,0.134,181,3,1
55,ad652a9c-61e0-41bd-a414-8ebd196b52f1,TOYOTA,Hilux Champ 2.4 Diesel MT LWB,2024,527000,5250.9,2.0,6.9,2393,1785,5300,1735,2,1585,0.00076,0.134,181,3,1
56,8e551e7c-711e-4e4a-a16f-cca5050a2be4,TOYOTA,Hilux Champ 2.4 Diesel AT C&C SWB,2024,536000,5327.0,,7.0,2393,1785,4705,1735,2,1480,0.00094,0.147,183,3,1
57,6df2885d-8101-45a1-b1dd-fe42b6093f80,TOYOTA,Hilux Champ 2.4 Diesel AT LWB,2024,562000,5327.0,2.0,7.0,2393,1785,5300,1735,2,1620,0.00094,0.147,183,3,1
58,9261395a-56a0-4761-b29c-239f3fe1aac3,TOYOTA,Hilux Champ 2.4 Diesel AT SWB Attractive Package,2024,577000,5327.0,2.0,7.0,2393,1785,4970,1735,2,1600,0.00094,0.147,183,3,1
59,2e69b18b-dbea-4c9e-86a2-134ac90052fe,TOYOTA,Hilux Champ 2.0 Gasoline MT SWB,2023,459000,7305.6,4.0,9.6,1998,1785,4970,1735,2,1445,,0.02,226,3,2
60,0ac41209-9d40-4e12-be9c-c1580b0bf1db,TOYOTA,Hilux Champ 2.7 Gasoline AT C&C SWB,2023,487000,6925.1,,9.1,2694,1785,4705,1735,2,1340,,0.012,214,3,1
61,9929b40b-6eb2-401e-bfd0-ac9a32b0019a,TOYOTA,Hilux Champ 2.7 Gasoline AT SWB,2023,499000,6925.1,4.0,9.1,2694,1785,4970,1735,2,1485,,0.012,214,3,1
62,20527fd2-46ff-4442-b196-656c56d654e7,NISSAN,GT-R Premium Luxury,2021,12390000,9055.9,40.0,11.9,3799,1895,4710,1370,4,1754,,0.021,283,2,2
63,0a99de56-becd-4f74-9343-b8ec3566e582,TOYOTA,GR SUPRA RZ,2023,3650000,6544.6,30.0,8.6,2997,1854,4379,1294,2,1489,,0.017,199,3,1
64,de0139d7-49e3-404d-9515-a0162f807ecd,TOYOTA,CROWN HYBRID CROSSOVER G “Advanced Leather Package”,2023,2247000,3652.8,16.0,4.8,2487,1840,4930,1540,5,1770,,0.002,115,1,0
65,16a24b97-c327-47a7-9cfe-5ce45aeb1c73,TOYOTA,GR YARIS RC,2023,1780000,6240.2,30.0,8.2,1618,1805,3995,1455,4,1320,0.00038,0.019,186,3,1
66,a0f8745e-c011-40a4-9575-dc6d93e2018d,TOYOTA,VOXY SZ,2023,1775130,5174.8,30.0,6.8,1986,1730,4695,1895,7,1675,,0.004,156,0,3
67,cb757f1f-9726-490c-86fe-2ecefdc977dd,TOYOTA,VELLFIRE HYBRID Z PREMIER,2023,2700000,4489.9,16.0,5.9,2487,1850,4995,1945,7,2186,,0.004,136,0,3
68,002e6677-e20b-4302-a238-70c8b5b44af7,MAZDA,ROADSTER RF,2023,1900000,5631.4,30.0,7.4,1997,1735,3915,1235,7,1130,,0.001,172,0,1
69,6054d576-c216-4437-a4de-719afcb2366b,TOYOTA,VOXY S-Z 2WD,2022,1890000,4946.5,30.0,6.5,1986,1730,4695,1895,7,1640,,0.005,156,0,3
70,ba41c0db-03d7-4b73-a42f-9ab368ba2626,MINI,Cooper S Clubman,2019,3219000,4718.2,25.0,6.2,1998,1800,4266,1441,5,1400,0.0,0.01,141,1,3
71,d5be705e-4da8-4398-91c4-c793a23ed5f9,MINI,Cooper S Hatch 3 door,2021,2889000,4261.6,25.0,5.6,1998,1727,3876,1414,4,1205,,0.012,133,1,3
